TargetID	DrugID	Highest_status	MOA
T46208	D0YU0L	Phase 1	CAR-T-Cell-Therapy
T28893	D09AOO	Phase 1	Agonist
T18477	D0V9MT	Phase 1	Inhibitor
T15000	D02RPO	Phase 1	.
T40474	D01FSX	Phase 1	Inhibitor
T53764	DN2F9A	Phase 1	Inhibitor
T67849	DA02DE	Phase 1	Inhibitor
T92124	DBZ87Q	Phase 1	.
T93923	DN2F9A	Phase 1	Inhibitor
T05031	D05CBJ	Phase 1/2	Inhibitor
T67849	D05CBJ	Phase 1/2	Inhibitor
T80276	D05CBJ	Phase 1/2	Inhibitor
T18779	D04WHM	Phase 1/2	Modulator
T78114	D02WLS	Phase 1/2	.
T60529	D05TPI	Phase 1/2	Inhibitor
T86803	D0B4MK	Phase 1/2	.
T64969	D08RJY	Phase 1/2	CAR-T-Cell-Therapy
T88023	D0I5GS	Phase 1/2	CAR-T-Cell-Therapy
T73215	D05PZI	Phase 1/2	CAR-T-Cell-Therapy
T71164	D0S4GT	Phase 1/2	CAR-T-Cell-Therapy
T56365	D03UNT	Phase 1/2	CAR-T-Cell-Therapy
T56365	D08BPS	Phase 1/2	CAR-T-Cell-Therapy
T87108	D00YXG	Phase 1/2	CAR-T-Cell-Therapy
T18779	D05CSS	Phase 1/2	CAR-T-Cell-Therapy
T56365	D0U0BN	Phase 1/2	CAR-T-Cell-Therapy
T56365	D0FF0N	Phase 1/2	CAR-T-Cell-Therapy
T06438	D05TPI	Phase 1/2	Modulator
T63414	D02AIZ	Phase 1/2	.
T65755	D09RYU	Phase 1/2	Inhibitor
T88537	D05TPI	Phase 1/2	Modulator
T95241	D08ANJ	Phase 1/2	Inhibitor
T95241	D0FI1L	Phase 1/2	Activator
T25265	DM5X0L	Phase 1/2	Inhibitor
T65019	DE2Z7V	Phase 1/2a	Inhibitor
T69707	D02BLD	Phase 2	Modulator
T47768	D0T0ZW	Phase 2	Inhibitor
T15739	D03XTY	Phase 2	Stimulator
T50823	D0N1SH	Phase 2	.
T56915	D04MCY	Phase 2	Inhibitor
T15803	D0KY7S	Phase 2	.
T70508	D0LF1U	Phase 2	Inhibitor
T61722	D0RL4X	Phase 2	Antagonist
T82383	D0X9VR	Phase 2	.
T59045	D0EJ7U	Phase 2	Inhibitor
T14755	D0C8NG	Phase 2	.
T55936	D03SHD	Phase 2	Inhibitor
T92072	D00SUK	Phase 2	Inhibitor
T86679	D00SUK	Phase 2	Inhibitor
T77365	D00SUK	Phase 2	Inhibitor
T36059	D00SUK	Phase 2	Inhibitor
T05849	D0TL7L	Phase 2	Inhibitor
T28330	D0TL7L	Phase 2	Inhibitor
T97111	D09WKM	Phase 2	.
T38950	D04MGW	Phase 2	.
T41515	D0SL8T	Phase 2	.
T30687	D0F8XK	Phase 2	.
T87875	D04WIF	Phase 2	.
T16691	D0L8IO	Phase 2	Modulator
T62905	D05KBU	Phase 2	Modulator
T49507	D06WRF	Phase 2	Modulator
T26220	D0M5VV	Phase 2	Modulator
T95399	D0LF1U	Phase 2	Inhibitor
T62974	D0M5VV	Phase 2	Inhibitor
T56365	D0G4IW	Phase 2	CAR-T-Cell-Therapy
T56365	D0I0NJ	Phase 2	CAR-T-Cell-Therapy
T56365	D0RA1R	Phase 2	CAR-T-Cell-Therapy
